date,datetime,open,high,low,close,volume,funding_rate,open_interest,ma_5,ma_20,ma_60,ma_cross,momentum_12,macd,macd_signal,macd_hist,atr_14,bb_mid,bb_upper,bb_lower,bb_width_20,bb_pos_20,rsi_14,volume_ma_20,rel_volume_20,price_position_20,log_return,ret,volatility_20,funding_rate_zscore,oi_change,oi_rsi,natr_14,buy_stars,sell_stars,instrument,btc_corr_24h
2025-04-12 08:00:00+00:00,2025-04-12 08:00:00+00:00,83715.9,84023.2,83290.8,83520.4,652.97996152,,0.0,,,,0,,0.0,0.0,0.0,732.3999999999942,,,,,,,,,,,,,,,,0.0087691150904449,0,0,BTC,1.0
2025-04-12 12:00:00+00:00,2025-04-12 12:00:00+00:00,83520.4,85400.0,83468.5,84996.2,2356.56180379,,0.0,,,,0,,117.72763532763928,23.54552706552786,94.18210826211144,818.0499999999946,,,,,,,,,,0.0175156362137351,0.0176699345309649,,,,,0.0096245479209658,0,1,BTC,1.0
2025-04-12 16:00:00+00:00,2025-04-12 16:00:00+00:00,84996.2,85253.8,84422.0,84932.9,695.5282924,,0.0,,,,0,,203.5731885293353,59.55105935828935,144.02212917104595,819.0321428571381,,,,,,,,,,-0.000745016632559,-0.000744739176575,,,,,0.0096432847913722,0,1,BTC,1.0
2025-04-12 20:00:00+00:00,2025-04-12 20:00:00+00:00,84932.9,85888.0,84870.0,85268.0,882.05910739,,0.0,,,,0,,295.2428021371452,106.68940791406052,188.55339422308467,833.2441326530568,,,,,,,,,,0.0039377045948812,0.0039454675396695,,,,,0.0097720614140481,0,1,BTC,1.0
2025-04-13 00:00:00+00:00,2025-04-13 00:00:00+00:00,85268.1,86100.0,84716.0,85416.7,1433.64561729,,0.0,84826.84,,,0,,375.5612424038263,160.4637748120137,215.09746759181263,872.5838374635528,,,,,,,,,,0.0017423944573863,0.0017439133086267,,,,,0.0102156116715297,0,1,BTC,1.0
2025-04-13 04:00:00+00:00,2025-04-13 04:00:00+00:00,85416.7,85427.6,84376.4,84418.0,2110.69833754,,0.0,85006.35999999999,,,0,,354.5405190525926,199.27912366012947,155.2613953924631,885.3421347875856,,,,,,,,,,-0.0117609830230868,-0.0116920929982076,,,,,0.0104875990284961,0,1,BTC,1.0
2025-04-13 08:00:00+00:00,2025-04-13 08:00:00+00:00,84417.9,84955.9,84204.0,84520.6,641.98551788,,0.0,84911.24,,,0,,342.21555894489575,227.86641071708272,114.34914822781305,875.810553731329,,,,,,,,,,0.0012146426289114,0.0012153806060319,,,,,0.0103620957935855,0,1,BTC,1.0
2025-04-13 12:00:00+00:00,2025-04-13 12:00:00+00:00,84520.6,84696.1,83458.0,83850.8,2460.51022022,,0.0,84694.81999999999,,,0,,275.228019727263,237.3387325191188,37.88928720814423,901.6883713219488,,,,,,,,,,-0.0079562625637046,-0.007924695281387,,,,,0.0107534856116095,0,1,BTC,1.0
2025-04-13 16:00:00+00:00,2025-04-13 16:00:00+00:00,83850.8,85024.0,83020.2,83983.3,1511.39856048,,0.0,84437.88,,,0,,230.1782038761012,235.90662679051528,-5.728422914414097,980.4106305132384,,,,,,,,,,0.0015789404838165,0.001580187666665,,,,,0.0116738760028867,1,0,BTC,1.0
2025-04-13 20:00:00+00:00,2025-04-13 20:00:00+00:00,83983.9,84436.7,83040.0,83760.0,1037.25076654,,0.0,84106.54000000001,,,0,,174.44654525908118,223.61461048422848,-49.1680652251473,1010.1455854765784,,,,,,,,,,-0.0026624029919896,-0.0026588619404096,,,,,0.0120599998266067,1,0,BTC,1.0
2025-04-14 00:00:00+00:00,2025-04-14 00:00:00+00:00,83758.1,85534.4,83688.2,84569.3,1634.15789032,,0.0,84136.80000000002,,,0,,193.3536897014856,217.56242632767996,-24.20873662619437,1069.863757942537,,,,,,,,,,0.0096157500307495,0.0096621298949379,,,,,0.0126507344620629,0,1,BTC,1.0
