date,datetime,open,high,low,close,volume,funding_rate,open_interest,ma_5,ma_20,ma_60,ma_cross,momentum_12,macd,macd_signal,macd_hist,atr_14,bb_mid,bb_upper,bb_lower,bb_width_20,bb_pos_20,rsi_14,volume_ma_20,rel_volume_20,price_position_20,log_return,ret,volatility_20,funding_rate_zscore,oi_change,oi_rsi,natr_14,buy_stars,sell_stars,instrument,btc_ret,btc_corr_24h
2025-04-16 20:00:00+00:00,2025-04-16 20:00:00+00:00,1588.8,1598.41,1570.16,1577.36,15316.270786,,0.0,,,,0,,0.0,0.0,0.0,28.25,,,,,,,,,,,,,,,,0.0179096718567733,0,0,ETH,,0.0
2025-04-17 00:00:00+00:00,2025-04-17 00:00:00+00:00,1577.37,1595.61,1574.89,1585.02,14585.659022,,0.0,,,,0,,0.6110541310540611,0.1222108262108122,0.4888433048432489,27.712142857142844,,,,,,,,,,0.0048444620702885,0.0048562154485976,,,,,0.0174837811870782,0,0,ETH,,0.0
2025-04-17 04:00:00+00:00,2025-04-17 04:00:00+00:00,1585.02,1610.76,1581.0,1601.97,25704.732504,,0.0,,,,0,,2.4349734174236346,0.5847633444533767,1.850210072970258,27.858418367346925,,,,,,,,,,0.0106370963328985,0.0106938713707083,,,,,0.0173900999190664,0,1,ETH,,0.0
2025-04-17 08:00:00+00:00,2025-04-17 08:00:00+00:00,1601.9,1604.55,1588.51,1593.39,16074.117091,,0.0,,,,0,,3.151776580050182,1.098165991572738,2.053610588477444,27.014245626822145,,,,,,,,,,-0.0053702998226653,-0.0053559055413022,,,,,0.0169539444999793,0,1,ETH,,0.0
2025-04-17 12:00:00+00:00,2025-04-17 12:00:00+00:00,1593.37,1603.52,1562.87,1583.19,30551.155903,,0.0,1588.186,,,0,,2.8637816039879453,1.4512891140557795,1.4124924899321658,27.988228082049144,,,,,,,,,,-0.0064220230915005,-0.0064014459736787,,,,,0.0176783759890153,1,0,ETH,,0.0
2025-04-17 16:00:00+00:00,2025-04-17 16:00:00+00:00,1583.18,1617.45,1577.1,1581.4,53318.667426,,0.0,1588.994,,,0,,2.462716803893727,1.6535746520233692,0.8091421518703579,28.871211790474216,,,,,,,,,,-0.0011312683102068,-0.0011306286674372,,,,,0.0182567419947351,0,1,ETH,,0.0
2025-04-17 20:00:00+00:00,2025-04-17 20:00:00+00:00,1581.37,1592.0,1578.72,1584.0,11966.913072,,0.0,1588.79,,,0,,2.32783450406032,1.7884266224307594,0.5394078816295604,27.75755380544034,,,,,,,,,,0.0016427627375444,0.0016441128114328,,,,,0.0175237082105052,0,1,ETH,,0.0
2025-04-18 00:00:00+00:00,2025-04-18 00:00:00+00:00,1584.05,1589.39,1577.22,1584.29,9350.000184,,0.0,1585.254,,,0,,2.218763363119024,1.8744939705684125,0.3442693925506113,26.644157105051757,,,,,,,,,,0.0001830640508348,0.0001830808080807,,,,,0.0168177272500942,0,1,ETH,,0.0
2025-04-18 04:00:00+00:00,2025-04-18 04:00:00+00:00,1584.3,1585.58,1573.57,1584.43,12970.217106,,0.0,1583.462,,,0,,2.119191804112006,1.9234335372771316,0.1957582668348747,25.59886016897663,,,,,,,,,,8.836375576956807e-05,8.836765996123042e-05,,,,,0.0161565106498719,1,0,ETH,,0.0
2025-04-18 08:00:00+00:00,2025-04-18 08:00:00+00:00,1584.42,1592.89,1582.5,1590.7,9722.615655,,0.0,1584.964,,,0,,2.5172005051283577,2.042186930847377,0.4750135742809807,24.51251301404973,,,,,,,,,,0.003949449723339,0.0039572590773968,,,,,0.0154098906230274,0,1,ETH,,0.0
2025-04-18 12:00:00+00:00,2025-04-18 12:00:00+00:00,1590.71,1597.39,1578.52,1583.18,13364.304893,,0.0,1585.3200000000002,,,0,,2.2004585984584537,2.0738412643695927,0.126617334088861,24.109476370189046,,,,,,,,,,-0.0047386883385001,-0.0047274784685986,,,,,0.0152285124686953,0,1,ETH,,0.0
2025-04-18 16:00:00+00:00,2025-04-18 16:00:00+00:00,1583.19,1595.25,1581.74,1593.44,6528.875979,,0.0,1587.208,,,0,,2.7456840721679328,2.2082098259292606,0.5374742462386721,23.352370915175545,,,,,,,,,,0.0064597186175147,0.0064806275976199,,,,,0.0146553186283609,0,1,ETH,,0.0
2025-04-18 20:00:00+00:00,2025-04-18 20:00:00+00:00,1593.29,1601.4,1587.05,1588.72,7188.494118,,0.0,1588.094,,,0,0.0072019069838211,2.7650409638529254,2.3195760535139938,0.4454649103389316,22.709344421234444,,,,,,,,,,-0.0029665406274201,-0.0029621447936539,,,,,0.014294113765317,0,1,ETH,,0.0
2025-04-19 00:00:00+00:00,2025-04-19 00:00:00+00:00,1588.73,1600.64,1585.14,1597.84,9713.867636,,0.0,1590.776,,,0,0.0080882260160755,3.4762175489183846,2.550904352594872,0.9253131963235126,22.19439124828913,,,,,,,,,,0.005724056601007,0.0057404703157257,,,,,0.0138902463627704,0,1,ETH,,0.0
2025-04-19 04:00:00+00:00,2025-04-19 04:00:00+00:00,1597.84,1613.6,1595.6,1600.84,16107.773989,,0.0,1592.804,,,0,-0.0007053814990294,4.23310840560589,2.887345163197076,1.3457632424088142,21.89479187341133,,,,,,79.2777499697257,,,,0.0018757743066716,0.0018775346718069,,,,,0.0136770644620395,0,2,ETH,,0.0
2025-04-19 08:00:00+00:00,2025-04-19 08:00:00+00:00,1600.84,1606.66,1594.06,1596.96,9012.516527,,0.0,1595.56,,,0,0.0022405060907875,4.468357841408306,3.203547698839322,1.264810142568984,21.230878168167678,,,,,,75.86324015625121,,,,-0.0024266695253116,-0.0024237275430398,,,,,0.0132945585162857,0,2,ETH,,0.0
2025-04-19 12:00:00+00:00,2025-04-19 12:00:00+00:00,1597.0,1612.5,1595.2,1607.03,10079.210479,,0.0,1598.278,,,0,0.0150582052691086,5.405053463858394,3.6438488518431367,1.7612046120152574,20.950101156155696,,,,,,78.4566583153892,,,,0.0062859329510586,0.0063057308886884,,,,,0.0130365339515476,0,2,ETH,,0.0
2025-04-19 16:00:00+00:00,2025-04-19 16:00:00+00:00,1607.04,1632.99,1598.32,1614.76,18905.002057,,0.0,1603.486,,,0,0.0210952320728468,6.693973926304125,4.253873866735335,2.44010005956879,21.93009393071601,,,,,,80.21411178698118,,,,0.0047985839131902,0.0048101155547812,,,,,0.0135810237624885,0,2,ETH,,0.0
2025-04-19 20:00:00+00:00,2025-04-19 20:00:00+00:00,1614.76,1622.6,1611.0,1613.33,6069.993384,,0.0,1606.584,,,0,0.018516414141414,7.513453218233735,4.905789737035015,2.6076634811987205,21.192230078522005,,,,,,78.93130492001684,,,,-0.0008859728777944,-0.0008855805197057,,,,,0.0131357069406271,0,2,ETH,,0.0
