date,datetime,open,high,low,close,volume,funding_rate,open_interest,ma_5,ma_20,ma_60,ma_cross,momentum_12,macd,macd_signal,macd_hist,atr_14,bb_mid,bb_upper,bb_lower,bb_width_20,bb_pos_20,rsi_14,volume_ma_20,rel_volume_20,price_position_20,log_return,ret,volatility_20,funding_rate_zscore,oi_change,oi_rsi,natr_14,buy_stars,sell_stars,instrument,btc_ret,btc_corr_24h
2025-04-08 12:00:00+00:00,2025-04-08 12:00:00+00:00,111.58,112.19,106.68,107.2,464217.898406,,0.0,,,,0,,0.0,0.0,0.0,5.509999999999991,,,,,,,,,,,,,,,,0.0513992537313432,0,0,SOL,,0.0
2025-04-08 16:00:00+00:00,2025-04-08 16:00:00+00:00,107.18,107.3,102.95,104.07,445458.856514,,0.0,,,,0,,-0.2496866096866199,-0.0499373219373239,-0.1997492877492959,5.427142857142848,,,,,,,,,,-0.0296324989869336,-0.0291977611940299,,,,,0.0521489656687119,1,0,SOL,-0.02076002904569607,0.0
2025-04-08 20:00:00+00:00,2025-04-08 20:00:00+00:00,104.09,106.48,103.67,105.4,177407.216052,,0.0,,,,0,,-0.3363677242879532,-0.1072234024074498,-0.2291443218805034,5.240204081632645,,,,,,,,,,0.0126988864574939,0.0127798597098107,,,,,0.0497173062773495,1,0,SOL,-0.006992561215808046,0.0
2025-04-09 00:00:00+00:00,2025-04-09 00:00:00+00:00,105.41,106.58,101.26,103.14,361442.813769,,0.0,,,,0,,-0.5807319283284613,-0.2019251075916521,-0.3788068207368091,5.245903790087456,,,,,,,,,,-0.0216753474844491,-0.0214421252371916,,,,,0.0508619719806811,1,0,SOL,-0.016390693555212166,0.0
2025-04-09 04:00:00+00:00,2025-04-09 04:00:00+00:00,103.14,107.84,103.04,107.37,355663.159217,,0.0,105.436,,,0,,-0.4281314394333861,-0.2471663739599989,-0.1809650654733872,5.214053519366924,,,,,,,,,,0.0401935248232311,0.0410122164048865,,,,,0.0485615490301473,1,0,SOL,0.03475415163801232,0.0
2025-04-09 08:00:00+00:00,2025-04-09 08:00:00+00:00,107.37,108.27,102.77,103.45,326733.979623,,0.0,104.686,,,0,,-0.6164002137813043,-0.32101314192426,-0.2953870718570442,5.234478267983572,,,,,,,,,,-0.037192409254492,-0.0365092670205829,,,,,0.0505991132719533,1,0,SOL,-0.018661802772882874,0.0
2025-04-09 12:00:00+00:00,2025-04-09 12:00:00+00:00,103.44,107.45,102.31,106.55,402180.925024,,0.0,105.18200000000002,,,0,,-0.5095862881133542,-0.3587277711620789,-0.1508585169512752,5.2277298202704605,,,,,,,,,,0.0295259543530739,0.029966167230546,,,,,0.0490636304107973,1,0,SOL,0.013419764081832763,0.0
2025-04-09 16:00:00+00:00,2025-04-09 16:00:00+00:00,106.56,120.71,106.25,118.9,1167224.439413,,0.0,107.882,,,0,,0.5650922723172442,-0.1739637624662142,0.7390560347834585,5.887177690251141,,,,,,,,,,0.1096684451521101,0.1159080244016894,,,,,0.0495136895731803,0,1,SOL,0.06567186201647934,0.0
2025-04-09 20:00:00+00:00,2025-04-09 20:00:00+00:00,118.96,120.5,118.03,119.07,217335.379688,,0.0,111.068,,,0,,1.4141983550213697,0.1436686610313025,1.270529693990067,5.643093569518917,,,,,,,,,,0.0014287517663474,0.0014297729184187,,,,,0.0473930760856548,0,1,SOL,0.003438379407131542,0.0
2025-04-10 00:00:00+00:00,2025-04-10 00:00:00+00:00,119.05,119.29,114.48,115.49,300807.154087,,0.0,112.692,,,0,,1.7777521422679283,0.4704853572786277,1.307266784989301,5.583586885981852,,,,,,,,,,-0.0305276093360875,-0.0300663475266649,,,,,0.0483469294829149,0,1,SOL,-0.010220483572666583,0.0
2025-04-10 04:00:00+00:00,2025-04-10 04:00:00+00:00,115.48,116.95,114.08,114.81,265221.075085,,0.0,114.964,,,0,,1.9880834326489487,0.7740049723526921,1.214078460296257,5.389759251268862,,,,,,,,,,-0.0059053580212754,-0.0058879556671572,,,,,0.046945033109214,0,1,SOL,-0.0022024115244454467,0.0
2025-04-10 08:00:00+00:00,2025-04-10 08:00:00+00:00,114.81,115.22,113.41,113.96,151645.482108,,0.0,116.446,,,0,,2.062410415908729,1.0316860610638996,1.03072435484483,5.134062161892516,,,,,,,,,,-0.007431078476013,-0.0074035362773278,,,,,0.0450514405220473,0,1,SOL,0.003432854661929552,0.0
2025-04-10 12:00:00+00:00,2025-04-10 12:00:00+00:00,113.96,115.73,109.39,109.6,441383.802779,,0.0,114.586,,,0,0.0223880597014924,1.7493342869423572,1.1752157062395912,0.574118580702766,5.220200578900193,,,,,,,,,,-0.0390101351157923,-0.0382590382590382,,,,,0.0476295673257316,1,0,SOL,-0.0381476414979115,0.0
2025-04-10 16:00:00+00:00,2025-04-10 16:00:00+00:00,109.6,111.91,108.33,111.33,269049.95038,,0.0,113.03799999999998,,,0,0.0697607379648315,1.6221169860491358,1.2645959622015002,0.3575210238476356,5.103043394693036,,,,,,,,,,0.0156613892267007,0.0157846715328466,,,,,0.0458370914820177,1,0,SOL,0.01131545497373354,0.0
2025-04-10 20:00:00+00:00,2025-04-10 20:00:00+00:00,111.32,113.39,111.25,112.83,124360.499849,,0.0,112.506,,,0,0.0704933586337759,1.6236177675595798,1.336400323273116,0.2872174442864637,4.891397437929248,,,,,,35.3458575125636,,,,0.0133834974097388,0.0134734572891404,,,,,0.0433519226972369,1,0,SOL,-0.0005311281261850542,0.0
2025-04-11 00:00:00+00:00,2025-04-11 00:00:00+00:00,112.8,115.76,112.16,115.42,195556.923612,,0.0,112.628,,,0,0.1190614698468102,1.8129005135571248,1.431700361329918,0.3812001522272068,4.799154763791446,,,,,,39.37275550060486,,,,0.0226953881324656,0.0229548878844279,,,,,0.0415799234430033,0,1,SOL,0.01565713352470821,0.0
2025-04-11 04:00:00+00:00,2025-04-11 04:00:00+00:00,115.41,117.75,114.97,116.6,186754.435641,,0.0,113.156,,,0,0.0859644220918318,2.0346701804947145,1.5522943251628774,0.4823758553318371,4.654929423520628,,,,,,41.17053368922567,,,,0.0101716246335715,0.0102235314503551,,,,,0.0399222077488904,0,1,SOL,0.005068908960020213,0.0
2025-04-11 08:00:00+00:00,2025-04-11 08:00:00+00:00,116.61,119.39,115.88,118.02,288111.726181,,0.0,114.84,,,0,0.1408409859835668,2.298510572762112,1.7015375746827242,0.5969729980793876,4.573148750412013,,,,,,43.347628737665474,,,,0.0121048277126307,0.0121783876500858,,,,,0.0387489302695476,0,1,SOL,0.010830022792275296,0.0
2025-04-11 12:00:00+00:00,2025-04-11 12:00:00+00:00,118.02,121.54,117.59,119.91,530752.74008,,0.0,116.556,,,0,0.1253871421867667,2.6297985088945524,1.8871897615250897,0.7426087473694625,4.528638125382584,,,,,,46.20135281654591,,,,0.0158873597623191,0.0160142348754448,,,,,0.0377669762770626,0,1,SOL,0.004776248058089072,0.0
2025-04-11 16:00:00+00:00,2025-04-11 16:00:00+00:00,119.92,122.13,118.64,120.89,298930.256494,,0.0,118.16799999999998,112.2005,,1,0.0167367535744322,2.937562008612048,2.0972642109424813,0.8402977976695665,4.454449687855257,112.2005,123.78091359365028,100.6200864063497,0.2064235648441904,0.8751809004802984,47.6732141662427,348511.93570010003,0.8577331961199577,1.0,0.0081395798225588,0.0081727962638646,,,,,0.0368471311759058,0,1,SOL,0.016013978303095255,0.0
2025-04-11 20:00:00+00:00,2025-04-11 20:00:00+00:00,120.87,122.7,119.96,121.41,122966.170763,,0.0,119.366,112.91100000000002,,1,0.0196523053665911,3.186692249033314,2.315149818560648,0.8715424304726662,4.331988995865596,112.91100000000002,124.91302966168642,100.9089703383136,0.2125927440494975,0.8540651139669732,48.47867517073629,331449.34931795,0.3709953602746162,1.0,0.0042922063419833,0.0043014310530233,0.0339640097461373,,,,0.0356806605375635,0,1,SOL,-0.005169977161461947,0.0
2025-04-12 00:00:00+00:00,2025-04-12 00:00:00+00:00,121.41,122.24,119.41,120.19,167861.707272,,0.0,120.084,113.717,,1,0.040696164170058,3.248242240827381,2.5017683030139946,0.746473937813386,4.2247040675894825,113.717,125.39665256332572,102.03734743667432,0.2054161218344786,0.7771058456107379,46.6638202181826,317569.49185585,0.5285825986968395,0.9,-0.0100994235911863,-0.0100485956675726,0.0331569727667441,,,,0.0351502127264288,0,1,SOL,-0.005369473482305431,0.0
2025-04-12 04:00:00+00:00,2025-04-12 04:00:00+00:00,120.2,124.66,119.83,124.25,335405.52745,,0.0,121.33,114.6595,,1,0.0822228028917342,3.583322807152328,2.718079203841661,0.8652436033106667,4.267939491333091,114.6595,126.5429077183273,102.77609228167272,0.2072816943790491,0.9035248233218892,52.97321053136542,325469.40742575,1.0305285836319862,1.0,0.0332218410120407,0.0337798485730926,0.0336541169497478,,,,0.0343496136123387,0,1,SOL,0.009013102626189928,0.0
2025-04-12 08:00:00+00:00,2025-04-12 08:00:00+00:00,124.25,125.51,124.01,124.57,179114.274051,,0.0,122.262,115.731,,1,0.0931028431028431,3.8305417943624462,2.940571721945818,0.8899700724166282,4.0702295276664415,115.731,127.12076540583696,104.34123459416304,0.1968317115697085,0.8880237952693141,53.44070930104774,316352.98043985,0.5661848793141242,1.0,0.0025721419212631,0.0025754527162977,0.0329399065272405,,,,0.0326742355917672,0,1,SOL,-0.002335279200247453,0.0
2025-04-12 12:00:00+00:00,2025-04-12 12:00:00+00:00,124.57,131.73,124.38,130.51,470125.350574,,0.0,124.186,116.888,,1,0.1907846715328467,4.454425139961685,3.243342405548992,1.2110827344126935,4.304498847118839,116.888,129.30068157973935,104.47531842026063,0.2123859006868001,1.0487130203289254,61.15937900198913,322076.0900077,1.4596716898878168,1.0,0.0465820452814349,0.0476840330737737,0.0333025060723661,,,,0.0329821381282571,0,1,SOL,0.017669934530964992,0.0
2025-04-12 16:00:00+00:00,2025-04-12 16:00:00+00:00,130.49,131.57,128.22,130.73,281658.294184,,0.0,126.05,118.252,,1,0.1742567142728823,4.910009810844727,3.576675886608139,1.3333339242365878,4.236320358038921,118.252,130.4518731140943,106.05212688590572,0.2063368588115938,1.011398761417624,61.41452039560522,319822.30573575,0.8806712012661098,1.0,0.0016842753943323,0.0016856945827905,0.031523757616268,,,,0.0324051125069909,0,1,SOL,-0.0007447391765750266,0.0
2025-04-12 20:00:00+00:00,2025-04-12 20:00:00+00:00,130.71,134.09,130.65,132.26,216090.563997,,0.0,128.464,119.5375,,1,0.1722059735885845,5.333046122096732,3.9279499337058574,1.405096188390874,4.179440332464713,119.5375,131.95057032929407,107.12442967070592,0.2076849579302574,1.01246386520407,63.22383715336005,310517.7876844,0.695903978990818,1.0,0.0116355546727475,0.0117035110533159,0.0312460396478977,,,,0.0316001839744799,0,1,SOL,0.003945467539669512,0.0
2025-04-13 00:00:00+00:00,2025-04-13 00:00:00+00:00,132.25,134.0,130.89,131.81,285684.623473,,0.0,129.976,120.183,,1,0.1420031190434934,5.567811937213307,4.255922334407348,1.3118896028059588,4.103051737288664,120.183,133.69074607401254,106.67525392598746,0.224786302122805,0.9303826832505058,62.29855446059558,266440.7968874,1.0722255255591833,0.95,-0.0034081905221419,-0.0034023892333282,0.0193499553612486,,,,0.0311285315020761,0,1,SOL,0.0017439133086267766,0.0
2025-04-13 04:00:00+00:00,2025-04-13 04:00:00+00:00,131.81,132.04,128.16,128.53,254098.140817,,0.0,130.76799999999997,120.656,,1,0.1023156089193826,5.4266419982053264,4.490066267166944,0.9365757310383822,4.0871194703394735,120.656,134.6292249677732,106.68277503222676,0.2316208886051788,0.781753139241657,55.87922088515014,268278.93494385004,0.9471416042045268,0.8,-0.0251991516023338,-0.0248843031636446,0.0204911260975303,,,,0.0317989533209326,0,1,SOL,-0.011692092998207615,0.0
2025-04-13 08:00:00+00:00,2025-04-13 08:00:00+00:00,128.54,131.61,128.19,129.82,169968.535054,,0.0,130.62999999999997,121.3725,,1,0.0999830537197083,5.357102678490193,4.663473549431594,0.693629129058599,4.039468079600941,121.3725,135.67829585342952,107.06670414657049,0.2357337263948509,0.7952474677588414,57.72425253016088,261737.0039922,0.649386722020648,0.8,0.0099865354832819,0.0100365673383644,0.0188777585547952,,,,0.0311159149561003,0,1,SOL,0.0012153806060319905,0.0
2025-04-13 12:00:00+00:00,2025-04-13 12:00:00+00:00,129.82,130.44,126.83,128.73,278285.937639,,0.0,130.23,122.0685,,1,0.0735551663747811,5.154619135368762,4.761702666619028,0.3929164687497337,4.008791788200874,122.0685,136.3839256311156,107.7530743688844,0.2345474161002322,0.7326685972061056,55.60822576748842,262390.2471199,1.060580340517902,0.75,-0.0084316879337795,-0.0083962409490063,0.0189692417504692,,,,0.0311410843486434,0,1,SOL,-0.007924695281387062,0.0
2025-04-13 16:00:00+00:00,2025-04-13 16:00:00+00:00,128.71,132.6,127.07,128.21,262877.315745,,0.0,129.42000000000002,122.781,,1,0.0605509140540987,4.89575460289052,4.788513053873326,0.1072415490171936,4.117449517615097,122.781,136.82716801836006,108.73483198163991,0.2288003521450398,0.6932555552839625,54.58030340833282,267951.83880175,0.9810618091689812,0.65,-0.0040476431069336,-0.0040394624407673,0.0188595847970268,,,,0.0321148858717346,0,1,SOL,0.0015801876666650116,0.0
2025-04-13 20:00:00+00:00,2025-04-13 20:00:00+00:00,128.22,129.84,125.3,128.38,261366.38223,,0.0,128.73399999999998,123.71999999999998,,1,0.0574087801663782,4.650709688807652,4.760952380860192,-0.1102426920525401,4.147631694928306,123.71999999999998,136.5765143020961,110.86348569790388,0.207832432946914,0.6812310821775485,54.87398620491138,258950.9677743,1.00932769039815,0.65,0.0013250713190227,0.0013259496139146,0.0157889709972207,,,,0.0323074598452119,0,1,SOL,-0.0026588619404096514,0.0
2025-04-14 00:00:00+00:00,2025-04-14 00:00:00+00:00,128.38,136.2,127.99,131.73,405552.581326,,0.0,129.374,124.73999999999998,,1,0.0960146434811548,4.6729598593830985,4.743353876564774,-0.070394017181675,4.437800859576283,124.73999999999998,136.70904173273706,112.77095826726293,0.1919038276853788,0.7920033264184104,60.31898314539383,265776.0993216,1.525918178350811,0.9,0.0257597573581036,0.0260944072285402,0.0162170705484123,,,,0.0336886120061966,0,1,SOL,0.009662129894937976,0.0
2025-04-14 04:00:00+00:00,2025-04-14 04:00:00+00:00,131.74,134.32,131.13,132.28,167438.958996,,0.0,129.866,125.7125,,1,0.0646277665995975,4.681013869271197,4.7308858751060585,-0.0498720058348611,4.348672226749406,125.7125,136.77937105734958,114.64562894265042,0.1760663586731563,0.7967189174775143,61.14785657361003,267930.02227895,0.6249354125073535,1.0,0.0041665148718562,0.0041752068625218,0.0162024242435583,,,,0.0328747522433429,0,1,SOL,0.0001974711863523826,0.0
2025-04-14 08:00:00+00:00,2025-04-14 08:00:00+00:00,132.31,134.16,131.5,133.53,202133.028925,,0.0,130.826,126.61799999999998,,1,0.07192743036044,4.733694203294377,4.731447540743723,0.0022466625506538,4.228052781981591,126.61799999999998,137.11711729623028,116.11888270376969,0.165839253443117,0.8291705295302193,63.03757827029023,268258.8275446,0.7535000088352876,1.0,0.0094052835822806,0.0094496522527971,0.0158281378782344,,,,0.0316636919192809,0,1,SOL,0.004064502399924397,0.0
2025-04-14 12:00:00+00:00,2025-04-14 12:00:00+00:00,133.53,134.79,128.13,128.81,373405.100271,,0.0,130.946,127.22849999999998,,1,-0.013025821776109,4.344498519656767,4.654057736526331,-0.3095592168695642,4.401763297554334,127.22849999999998,136.69578741509423,117.76121258490572,0.1488233755030399,0.5835244527106332,52.62833485576483,277591.3607761,1.3451611002122708,0.6,-0.035987721287876,-0.0353478619036919,0.0184654848562085,,,,0.0341725277350697,0,1,SOL,-0.009746873300066627,0.0
2025-04-14 16:00:00+00:00,2025-04-14 16:00:00+00:00,128.8,131.98,128.05,131.05,176077.354805,,0.0,131.48,127.88,,1,0.0024477931614779,4.1687526305428975,4.556996715329644,-0.3882440847867467,4.368065919157594,127.88,136.4761154017383,119.2838845982617,0.134440340971822,0.6843856120963069,56.31507040923273,271989.6422073,0.6473678680410949,0.75,0.0172404793614189,0.0173899541961028,0.0186060803859648,,,,0.0333312927825837,0,1,SOL,0.009490856341109577,0.0
