date,datetime,open,high,low,close,volume,funding_rate,open_interest,ma_5,ma_20,ma_60,ma_cross,momentum_12,macd,macd_signal,macd_hist,atr_14,bb_mid,bb_upper,bb_lower,bb_width_20,bb_pos_20,rsi_14,volume_ma_20,rel_volume_20,price_position_20,log_return,ret,volatility_20,funding_rate_zscore,oi_change,oi_rsi,natr_14,buy_stars,sell_stars,instrument,btc_ret,btc_corr_24h
2025-04-22 12:00:00+00:00,2025-04-22 12:00:00+00:00,0.16409,0.1733,0.16375,0.17192,278258783.69842,,0.0,,,,0,,0.0,0.0,0.0,0.00955,,,,,,,,,,,,,,,,0.0555490926012098,0,0,DOGE,,0.0
2025-04-22 16:00:00+00:00,2025-04-22 16:00:00+00:00,0.17194,0.1726,0.16993,0.17171,102767602.808713,,0.0,,,,0,,-1.6752136752146152e-05,-3.3504273504292306e-06,-1.340170940171692e-05,0.0090585714285714,,,,,,,,,,-0.0012222450085437,-0.0012214983713354,,,,,0.0527550604424403,0,0,DOGE,0.00543409523579097,0.0
2025-04-22 20:00:00+00:00,2025-04-22 20:00:00+00:00,0.17172,0.17998,0.1715,0.17862,134573199.156767,,0.0,,,,0,,0.0005215389485474,0.0001016274478291,0.0004199115007183,0.0090172448979591,,,,,,,,,,0.0394536369300287,0.0402422689418204,,,,,0.0504828400960653,0,1,DOGE,0.02218223583460932,0.0
2025-04-23 00:00:00+00:00,2025-04-23 00:00:00+00:00,0.17865,0.18472,0.17865,0.1821,190672788.642365,,0.0,,,,0,,0.0012149403521463,0.0003242900286925,0.0008906503234537,0.0088088702623906,,,,,,,,,,0.0192953424778222,0.0194827007054081,,,,,0.0483738070422332,0,1,DOGE,-0.0029085725842955545,0.0
2025-04-23 04:00:00+00:00,2025-04-23 04:00:00+00:00,0.18211,0.18518,0.18,0.18222,130463650.0386,,0.0,0.177314,,,0,,0.0017539307355683,0.0006102181700677,0.0011437125655005,0.0085496652436484,,,,,,,,,,0.0006587615521499,0.0006589785831958,,,,,0.0469194668183979,0,1,DOGE,0.010387856971905807,0.0
2025-04-23 08:00:00+00:00,2025-04-23 08:00:00+00:00,0.18221,0.18396,0.18067,0.18227,94072002.805708,,0.0,0.179384,,,0,,0.0021602174378439,0.0009202180236229,0.0012399994142209,0.0081739748691021,,,,,,,,,,0.0002743559511296,0.0002743935901656,,,,,0.0448454209091027,0,1,DOGE,-0.007117819510537138,0.0
2025-04-23 12:00:00+00:00,2025-04-23 12:00:00+00:00,0.18226,0.18545,0.1749,0.17848,264617367.878916,,0.0,0.180738,,,0,,0.0021515791853495,0.0011664902559682,0.0009850889293812,0.0083436909498805,,,,,,,,,,-0.0210125541125649,-0.0207933285784823,,,,,0.0467486046048889,0,1,DOGE,-0.003053258717139129,0.0
2025-04-23 16:00:00+00:00,2025-04-23 16:00:00+00:00,0.1785,0.18174,0.17656,0.1784,108672944.259913,,0.0,0.180694,,,0,,0.0021139101364111,0.0013559742320568,0.0007579359043542,0.0081177130248891,,,,,,,,,,-0.000448329978368,-0.0004482294935006,,,,,0.045502875700051,0,1,DOGE,0.0032364508496220967,0.0
2025-04-23 20:00:00+00:00,2025-04-23 20:00:00+00:00,0.17839,0.17997,0.17731,0.17864,43752840.051757,,0.0,0.180002,,,0,,0.0020794525039219,0.0015006698864298,0.000578782617492,0.0077278763802541,,,,,,,,,,0.0013443873859934,0.0013452914798206,,,,,0.0432594960829275,0,1,DOGE,0.0019895154674132165,0.0
2025-04-24 00:00:00+00:00,2025-04-24 00:00:00+00:00,0.17862,0.17934,0.17276,0.17288,163304828.37045,,0.0,0.178134,,,0,,0.0015692711393913,0.0015143901370221,5.488100236922819e-05,0.007645885210236,,,,,,,,,,-0.0327748953332718,-0.0322436184505149,,,,,0.0442265456399584,1,0,DOGE,-0.010855490354530262,0.0
2025-04-24 04:00:00+00:00,2025-04-24 04:00:00+00:00,0.17289,0.17464,0.17184,0.17243,110246192.207734,,0.0,0.176166,,,0,,0.0011157755274157,0.0014346672151008,-0.0003188916876851,0.007299750552362,,,,,,,,,,-0.0026063551865903,-0.0026029615918556,,,,,0.0423345737537668,1,0,DOGE,-0.0049676664594557884,0.0
