date,datetime,open,high,low,close,volume,funding_rate,open_interest
2025-04-28 16:00:00+00:00,2025-04-28 16:00:00+00:00,93838.5,94933.3,93450.0,94799.9,1297.02016135,0.0,0.0
2025-04-28 20:00:00+00:00,2025-04-28 20:00:00+00:00,94795.2,95178.0,94292.1,95014.6,748.89203781,0.0,0.0
2025-04-29 00:00:00+00:00,2025-04-29 00:00:00+00:00,95014.6,95465.2,94440.0,94655.8,1142.67064736,0.0,0.0
2025-04-29 04:00:00+00:00,2025-04-29 04:00:00+00:00,94655.9,94973.0,94200.0,94930.0,739.83610533,0.0,0.0
2025-04-29 08:00:00+00:00,2025-04-29 08:00:00+00:00,94930.0,95294.0,94746.0,95126.3,804.781173,0.0,0.0
2025-04-29 12:00:00+00:00,2025-04-29 12:00:00+00:00,95126.3,95300.0,94527.1,94840.4,998.31147332,0.0,0.0
2025-04-29 16:00:00+00:00,2025-04-29 16:00:00+00:00,94840.5,95464.9,94655.6,95306.7,908.22979197,0.0,0.0
2025-04-29 20:00:00+00:00,2025-04-29 20:00:00+00:00,95306.7,95410.1,93729.9,94242.0,1811.81489508,0.0,0.0
2025-04-30 00:00:00+00:00,2025-04-30 00:00:00+00:00,94242.0,95111.0,94128.1,95036.0,763.58704422,0.0,0.0
2025-04-30 04:00:00+00:00,2025-04-30 04:00:00+00:00,95036.0,95186.0,94500.0,94626.0,704.82039122,0.0,0.0
2025-04-30 08:00:00+00:00,2025-04-30 08:00:00+00:00,94626.0,95236.0,94526.0,95181.5,534.25329228,0.0,0.0
2025-04-30 12:00:00+00:00,2025-04-30 12:00:00+00:00,95181.6,95220.0,92914.1,94009.3,3013.12462899,0.0,0.0
2025-04-30 16:00:00+00:00,2025-04-30 16:00:00+00:00,94007.3,94537.0,93528.1,94160.0,690.09743533,0.0,0.0
2025-04-30 20:00:00+00:00,2025-04-30 20:00:00+00:00,94169.8,94786.3,93981.8,94163.1,631.62705677,0.0,0.0
2025-05-01 00:00:00+00:00,2025-05-01 00:00:00+00:00,94163.1,95000.0,94125.5,94779.9,1023.84587607,0.0,0.0
2025-05-01 04:00:00+00:00,2025-05-01 04:00:00+00:00,94780.0,95180.0,94702.8,95007.5,754.76959795,0.0,0.0
2025-05-01 08:00:00+00:00,2025-05-01 08:00:00+00:00,95007.6,96394.0,94900.0,96183.5,1730.78030397,0.0,0.0
2025-05-01 12:00:00+00:00,2025-05-01 12:00:00+00:00,96183.5,97426.0,95800.0,96849.8,3054.58352408,0.0,0.0
2025-05-01 16:00:00+00:00,2025-05-01 16:00:00+00:00,96849.9,97365.2,96402.6,96555.4,2743.85410067,0.0,0.0
2025-05-01 20:00:00+00:00,2025-05-01 20:00:00+00:00,96550.0,96894.7,96188.0,96488.2,652.53416838,0.0,0.0
2025-05-02 00:00:00+00:00,2025-05-02 00:00:00+00:00,96488.0,97240.0,96468.0,97109.9,743.77085164,0.0,0.0
2025-05-02 04:00:00+00:00,2025-05-02 04:00:00+00:00,97110.0,97300.0,96315.8,96362.4,1735.06092156,0.0,0.0
2025-05-02 08:00:00+00:00,2025-05-02 08:00:00+00:00,96362.3,97100.0,96353.9,96933.3,1622.30202392,0.0,0.0
2025-05-02 12:00:00+00:00,2025-05-02 12:00:00+00:00,96933.3,97896.0,96650.0,97331.1,1870.287618,0.0,0.0
2025-05-02 16:00:00+00:00,2025-05-02 16:00:00+00:00,97331.1,97799.9,96756.0,96919.8,1093.65058252,0.0,0.0
2025-05-02 20:00:00+00:00,2025-05-02 20:00:00+00:00,96920.0,97140.0,96555.2,96891.6,403.08276657,0.0,0.0
2025-05-03 00:00:00+00:00,2025-05-03 00:00:00+00:00,96891.7,96929.3,96303.7,96336.0,917.10243674,0.0,0.0
2025-05-03 04:00:00+00:00,2025-05-03 04:00:00+00:00,96336.0,96600.0,96123.0,96328.0,497.05478333,0.0,0.0
2025-05-03 08:00:00+00:00,2025-05-03 08:00:00+00:00,96328.0,96444.3,95850.0,95944.0,1268.92642855,0.0,0.0
2025-05-03 12:00:00+00:00,2025-05-03 12:00:00+00:00,95944.1,96514.0,95892.0,96428.0,591.09472319,0.0,0.0
2025-05-03 16:00:00+00:00,2025-05-03 16:00:00+00:00,96428.0,96434.2,95875.7,96359.9,338.57633958,0.0,0.0
2025-05-03 20:00:00+00:00,2025-05-03 20:00:00+00:00,96360.0,96448.0,95751.6,95861.6,435.6108887,0.0,0.0
2025-05-04 00:00:00+00:00,2025-05-04 00:00:00+00:00,95860.1,96299.9,95600.0,95736.0,877.19222883,0.0,0.0
2025-05-04 04:00:00+00:00,2025-05-04 04:00:00+00:00,95736.0,96148.0,95700.0,95895.3,384.14432534,0.0,0.0
2025-05-04 08:00:00+00:00,2025-05-04 08:00:00+00:00,95895.3,95939.3,95294.2,95430.0,648.3759601,0.0,0.0
