date,datetime,open,high,low,close,volume,funding_rate,open_interest
2025-04-16 20:00:00+00:00,2025-04-16 20:00:00+00:00,1588.8,1598.41,1570.16,1577.36,15316.270786,,0.0
2025-04-17 00:00:00+00:00,2025-04-17 00:00:00+00:00,1577.37,1595.61,1574.89,1585.02,14585.659022,,0.0
2025-04-17 04:00:00+00:00,2025-04-17 04:00:00+00:00,1585.02,1610.76,1581.0,1601.97,25704.732504,,0.0
2025-04-17 08:00:00+00:00,2025-04-17 08:00:00+00:00,1601.9,1604.55,1588.51,1593.39,16074.117091,,0.0
2025-04-17 12:00:00+00:00,2025-04-17 12:00:00+00:00,1593.37,1603.52,1562.87,1583.19,30551.155903,,0.0
2025-04-17 16:00:00+00:00,2025-04-17 16:00:00+00:00,1583.18,1617.45,1577.1,1581.4,53318.667426,,0.0
2025-04-17 20:00:00+00:00,2025-04-17 20:00:00+00:00,1581.37,1592.0,1578.72,1584.0,11966.913072,,0.0
2025-04-18 00:00:00+00:00,2025-04-18 00:00:00+00:00,1584.05,1589.39,1577.22,1584.29,9350.000184,,0.0
2025-04-18 04:00:00+00:00,2025-04-18 04:00:00+00:00,1584.3,1585.58,1573.57,1584.43,12970.217106,,0.0
2025-04-18 08:00:00+00:00,2025-04-18 08:00:00+00:00,1584.42,1592.89,1582.5,1590.7,9722.615655,,0.0
2025-04-18 12:00:00+00:00,2025-04-18 12:00:00+00:00,1590.71,1597.39,1578.52,1583.18,13364.304893,,0.0
2025-04-18 16:00:00+00:00,2025-04-18 16:00:00+00:00,1583.19,1595.25,1581.74,1593.44,6528.875979,,0.0
2025-04-18 20:00:00+00:00,2025-04-18 20:00:00+00:00,1593.29,1601.4,1587.05,1588.72,7188.494118,,0.0
2025-04-19 00:00:00+00:00,2025-04-19 00:00:00+00:00,1588.73,1600.64,1585.14,1597.84,9713.867636,,0.0
2025-04-19 04:00:00+00:00,2025-04-19 04:00:00+00:00,1597.84,1613.6,1595.6,1600.84,16107.773989,,0.0
2025-04-19 08:00:00+00:00,2025-04-19 08:00:00+00:00,1600.84,1606.66,1594.06,1596.96,9012.516527,,0.0
2025-04-19 12:00:00+00:00,2025-04-19 12:00:00+00:00,1597.0,1612.5,1595.2,1607.03,10079.210479,,0.0
2025-04-19 16:00:00+00:00,2025-04-19 16:00:00+00:00,1607.04,1632.99,1598.32,1614.76,18905.002057,,0.0
2025-04-19 20:00:00+00:00,2025-04-19 20:00:00+00:00,1614.76,1622.6,1611.0,1613.33,6069.993384,,0.0
2025-04-20 00:00:00+00:00,2025-04-20 00:00:00+00:00,1613.21,1619.28,1607.71,1611.98,8617.945231,,0.0
2025-04-20 04:00:00+00:00,2025-04-20 04:00:00+00:00,1611.99,1617.59,1586.0,1597.69,20283.675472,,0.0
2025-04-20 08:00:00+00:00,2025-04-20 08:00:00+00:00,1597.68,1597.7,1565.87,1572.85,31980.736267,,0.0
2025-04-20 12:00:00+00:00,2025-04-20 12:00:00+00:00,1572.64,1584.23,1571.25,1573.79,15586.90263,,0.0
2025-04-20 16:00:00+00:00,2025-04-20 16:00:00+00:00,1573.79,1588.0,1571.61,1586.3,7724.400842,,0.0
2025-04-20 20:00:00+00:00,2025-04-20 20:00:00+00:00,1586.3,1600.9,1574.73,1587.46,12543.181608,,0.0
2025-04-21 00:00:00+00:00,2025-04-21 00:00:00+00:00,1587.46,1645.8,1586.31,1634.72,55752.61887,,0.0
2025-04-21 04:00:00+00:00,2025-04-21 04:00:00+00:00,1634.7,1658.83,1631.35,1645.68,49617.421911,,0.0
2025-04-21 08:00:00+00:00,2025-04-21 08:00:00+00:00,1645.67,1655.0,1617.68,1626.41,22902.732778,,0.0
2025-04-21 12:00:00+00:00,2025-04-21 12:00:00+00:00,1626.4,1642.1,1608.64,1623.48,53676.95771,,0.0
2025-04-21 16:00:00+00:00,2025-04-21 16:00:00+00:00,1623.41,1626.3,1562.97,1573.45,86813.884225,,0.0
2025-04-21 20:00:00+00:00,2025-04-21 20:00:00+00:00,1573.6,1580.86,1571.1,1579.51,17861.176044,,0.0
2025-04-22 00:00:00+00:00,2025-04-22 00:00:00+00:00,1579.51,1593.71,1537.43,1579.05,51461.356044,,0.0
2025-04-22 04:00:00+00:00,2025-04-22 04:00:00+00:00,1579.06,1623.81,1573.81,1619.35,46056.335284,,0.0
2025-04-22 08:00:00+00:00,2025-04-22 08:00:00+00:00,1618.98,1639.0,1613.08,1630.92,39915.294328,,0.0
2025-04-22 12:00:00+00:00,2025-04-22 12:00:00+00:00,1630.92,1726.01,1626.49,1703.16,134651.296972,,0.0
2025-04-22 16:00:00+00:00,2025-04-22 16:00:00+00:00,1703.19,1710.68,1682.93,1698.5,32892.032463,,0.0
