date,datetime,open,high,low,close,volume,funding_rate,open_interest
2025-04-17 00:00:00+00:00,2025-04-17 00:00:00+00:00,131.33,132.66,129.47,129.77,137518.505367,,0.0
2025-04-17 04:00:00+00:00,2025-04-17 04:00:00+00:00,129.77,135.6,129.59,134.26,270572.520615,,0.0
2025-04-17 08:00:00+00:00,2025-04-17 08:00:00+00:00,134.27,135.0,132.41,133.1,157197.559122,,0.0
2025-04-17 12:00:00+00:00,2025-04-17 12:00:00+00:00,133.11,134.47,130.55,133.44,241557.473256,,0.0
2025-04-17 16:00:00+00:00,2025-04-17 16:00:00+00:00,133.46,136.21,132.01,132.93,287954.653164,,0.0
2025-04-17 20:00:00+00:00,2025-04-17 20:00:00+00:00,132.93,135.33,132.92,134.82,102476.104307,,0.0
2025-04-18 00:00:00+00:00,2025-04-18 00:00:00+00:00,134.82,136.0,133.76,134.51,120910.43905,,0.0
2025-04-18 04:00:00+00:00,2025-04-18 04:00:00+00:00,134.52,135.01,133.25,134.91,90966.413173,,0.0
2025-04-18 08:00:00+00:00,2025-04-18 08:00:00+00:00,134.92,135.54,133.56,134.26,126237.199673,,0.0
2025-04-18 12:00:00+00:00,2025-04-18 12:00:00+00:00,134.26,135.16,132.46,132.92,128101.456525,,0.0
2025-04-18 16:00:00+00:00,2025-04-18 16:00:00+00:00,132.93,134.48,132.69,134.25,103201.151113,,0.0
2025-04-18 20:00:00+00:00,2025-04-18 20:00:00+00:00,134.23,134.39,133.22,134.05,76973.351462,,0.0
2025-04-19 00:00:00+00:00,2025-04-19 00:00:00+00:00,134.05,139.15,133.58,138.79,245552.75801,,0.0
2025-04-19 04:00:00+00:00,2025-04-19 04:00:00+00:00,138.78,139.46,137.73,138.76,144452.867597,,0.0
2025-04-19 08:00:00+00:00,2025-04-19 08:00:00+00:00,138.76,139.95,138.45,138.77,189857.772123,,0.0
2025-04-19 12:00:00+00:00,2025-04-19 12:00:00+00:00,138.78,140.59,138.49,138.97,145465.500308,,0.0
