date,datetime,open,high,low,close,volume
2024-02-19 16:00:00+00:00,2024-02-19 16:00:00+00:00,354.1,361.3,348.9,351.1,34229.037069
2024-02-20 16:00:00+00:00,2024-02-20 16:00:00+00:00,351.3,374.0,344.8,369.9,64954.748102
2024-02-21 16:00:00+00:00,2024-02-21 16:00:00+00:00,369.9,387.0,364.8,380.8,35596.170965
2024-02-22 16:00:00+00:00,2024-02-22 16:00:00+00:00,380.9,387.3,371.2,371.7,18172.810171
2024-02-23 16:00:00+00:00,2024-02-23 16:00:00+00:00,371.7,381.9,369.0,379.5,13578.71741
2024-02-24 16:00:00+00:00,2024-02-24 16:00:00+00:00,379.5,388.4,378.0,384.8,14908.152706
2024-02-25 16:00:00+00:00,2024-02-25 16:00:00+00:00,385.0,399.0,382.2,396.7,23300.867144
2024-02-26 16:00:00+00:00,2024-02-26 16:00:00+00:00,396.7,404.7,391.8,392.9,25804.164993
2024-02-27 16:00:00+00:00,2024-02-27 16:00:00+00:00,393.0,417.0,389.7,413.1,21867.442695
2024-02-28 16:00:00+00:00,2024-02-28 16:00:00+00:00,413.3,426.9,400.0,407.8,34017.080199
2024-02-29 16:00:00+00:00,2024-02-29 16:00:00+00:00,407.7,408.8,391.1,403.0,21045.114413
2024-03-01 16:00:00+00:00,2024-03-01 16:00:00+00:00,403.0,414.7,402.6,407.8,20323.262987
2024-03-02 16:00:00+00:00,2024-03-02 16:00:00+00:00,407.9,415.3,402.2,413.5,23150.221227
2024-03-03 16:00:00+00:00,2024-03-03 16:00:00+00:00,413.3,423.7,411.4,418.9,25299.89339
2024-03-04 16:00:00+00:00,2024-03-04 16:00:00+00:00,418.9,427.1,410.6,416.1,36066.27551
2024-03-05 16:00:00+00:00,2024-03-05 16:00:00+00:00,416.2,434.7,354.2,419.7,107854.192584
2024-03-06 16:00:00+00:00,2024-03-06 16:00:00+00:00,419.8,450.8,418.9,449.1,38431.785481
2024-03-07 16:00:00+00:00,2024-03-07 16:00:00+00:00,449.0,489.4,448.3,472.8,47416.284439
2024-03-08 16:00:00+00:00,2024-03-08 16:00:00+00:00,472.7,493.7,463.9,484.3,30580.200119
2024-03-09 16:00:00+00:00,2024-03-09 16:00:00+00:00,484.3,537.4,480.6,521.1,52308.768338
2024-03-10 16:00:00+00:00,2024-03-10 16:00:00+00:00,521.0,535.5,505.2,515.5,56288.393584
2024-03-11 16:00:00+00:00,2024-03-11 16:00:00+00:00,515.6,548.0,512.3,541.8,65380.685163
2024-03-12 16:00:00+00:00,2024-03-12 16:00:00+00:00,541.7,600.0,518.9,582.4,73205.835334
2024-03-13 16:00:00+00:00,2024-03-13 16:00:00+00:00,582.3,633.5,580.3,592.5,72019.940615
2024-03-14 16:00:00+00:00,2024-03-14 16:00:00+00:00,592.6,611.9,542.0,596.3,104756.745541
2024-03-15 16:00:00+00:00,2024-03-15 16:00:00+00:00,596.4,646.5,581.8,601.6,120551.255903
2024-03-16 16:00:00+00:00,2024-03-16 16:00:00+00:00,601.4,601.9,548.5,588.2,66911.26955
2024-03-17 16:00:00+00:00,2024-03-17 16:00:00+00:00,587.9,590.5,544.5,552.6,102371.694164
2024-03-18 16:00:00+00:00,2024-03-18 16:00:00+00:00,552.4,560.4,497.7,529.3,87160.543352
2024-03-19 16:00:00+00:00,2024-03-19 16:00:00+00:00,529.3,539.8,499.6,516.5,66710.78795
2024-03-20 16:00:00+00:00,2024-03-20 16:00:00+00:00,516.6,571.2,504.2,558.5,60146.531634
2024-03-21 16:00:00+00:00,2024-03-21 16:00:00+00:00,558.5,587.8,541.7,554.1,72075.686468
2024-03-22 16:00:00+00:00,2024-03-22 16:00:00+00:00,554.1,567.8,535.0,562.2,41247.221708
2024-03-23 16:00:00+00:00,2024-03-23 16:00:00+00:00,562.2,565.5,548.9,560.2,24450.284189
2024-03-24 16:00:00+00:00,2024-03-24 16:00:00+00:00,560.2,595.3,554.0,593.2,48996.946391
2024-03-25 16:00:00+00:00,2024-03-25 16:00:00+00:00,593.2,598.2,571.9,579.6,35799.100939
2024-03-26 16:00:00+00:00,2024-03-26 16:00:00+00:00,579.8,585.4,563.3,569.9,29032.600804
2024-03-27 16:00:00+00:00,2024-03-27 16:00:00+00:00,570.0,591.5,565.7,585.3,40153.714637
2024-03-28 16:00:00+00:00,2024-03-28 16:00:00+00:00,585.2,620.0,579.8,607.1,55706.293497
2024-03-29 16:00:00+00:00,2024-03-29 16:00:00+00:00,607.2,620.0,596.4,605.4,28155.345023
2024-03-30 16:00:00+00:00,2024-03-30 16:00:00+00:00,605.4,609.7,599.7,602.1,12018.554915
2024-03-31 16:00:00+00:00,2024-03-31 16:00:00+00:00,602.1,608.5,571.1,573.9,34398.312533
2024-04-01 16:00:00+00:00,2024-04-01 16:00:00+00:00,574.1,581.9,546.5,552.3,48581.062155
2024-04-02 16:00:00+00:00,2024-04-02 16:00:00+00:00,552.3,568.1,539.2,556.5,37946.906974
2024-04-03 16:00:00+00:00,2024-04-03 16:00:00+00:00,556.7,593.1,550.7,590.4,56767.678829
2024-04-04 16:00:00+00:00,2024-04-04 16:00:00+00:00,590.4,597.7,564.7,583.8,41728.220842
2024-04-05 16:00:00+00:00,2024-04-05 16:00:00+00:00,583.7,587.0,575.3,583.9,14505.072332
2024-04-06 16:00:00+00:00,2024-04-06 16:00:00+00:00,583.8,591.1,582.9,584.4,13802.911468
2024-04-07 16:00:00+00:00,2024-04-07 16:00:00+00:00,584.4,601.0,575.0,587.8,27932.386329
2024-04-08 16:00:00+00:00,2024-04-08 16:00:00+00:00,587.7,592.1,571.2,579.0,31589.683157
2024-04-09 16:00:00+00:00,2024-04-09 16:00:00+00:00,579.0,594.5,573.2,593.5,36037.55803
2024-04-10 16:00:00+00:00,2024-04-10 16:00:00+00:00,593.5,618.0,592.0,602.6,57707.529655
2024-04-11 16:00:00+00:00,2024-04-11 16:00:00+00:00,602.8,632.2,598.0,612.5,68029.190045
2024-04-12 16:00:00+00:00,2024-04-12 16:00:00+00:00,612.4,616.6,565.6,595.3,97049.112928
2024-04-13 16:00:00+00:00,2024-04-13 16:00:00+00:00,595.0,596.4,505.3,550.2,115359.084778
2024-04-14 16:00:00+00:00,2024-04-14 16:00:00+00:00,550.2,585.4,537.1,565.6,51760.17982
2024-04-15 16:00:00+00:00,2024-04-15 16:00:00+00:00,565.6,567.8,524.2,525.4,49364.235355
2024-04-16 16:00:00+00:00,2024-04-16 16:00:00+00:00,525.4,547.6,516.8,517.5,41147.103198
2024-04-17 16:00:00+00:00,2024-04-17 16:00:00+00:00,517.5,556.0,512.7,550.9,51541.890611
2024-04-18 16:00:00+00:00,2024-04-18 16:00:00+00:00,550.9,564.2,524.0,559.9,34159.381675
2024-04-19 16:00:00+00:00,2024-04-19 16:00:00+00:00,559.9,567.9,548.8,567.8,17222.507159
2024-04-20 16:00:00+00:00,2024-04-20 16:00:00+00:00,567.9,582.4,564.2,574.0,16792.329487
2024-04-21 16:00:00+00:00,2024-04-21 16:00:00+00:00,574.1,608.6,566.5,595.0,34371.287913
2024-04-22 16:00:00+00:00,2024-04-22 16:00:00+00:00,595.0,619.8,592.6,604.4,44152.245324
2024-04-23 16:00:00+00:00,2024-04-23 16:00:00+00:00,604.5,618.5,595.7,597.1,34323.476402
2024-04-24 16:00:00+00:00,2024-04-24 16:00:00+00:00,597.0,613.9,592.8,611.2,43280.648887
2024-04-25 16:00:00+00:00,2024-04-25 16:00:00+00:00,611.2,617.8,597.1,599.1,23434.327481
2024-04-26 16:00:00+00:00,2024-04-26 16:00:00+00:00,599.1,604.7,584.2,587.8,15528.724754
2024-04-27 16:00:00+00:00,2024-04-27 16:00:00+00:00,587.8,608.0,587.4,603.9,13326.750068
2024-04-28 16:00:00+00:00,2024-04-28 16:00:00+00:00,604.0,607.4,580.3,592.6,18092.052043
2024-04-29 16:00:00+00:00,2024-04-29 16:00:00+00:00,592.6,604.6,558.9,560.7,25483.323426
2024-04-30 16:00:00+00:00,2024-04-30 16:00:00+00:00,560.6,582.8,536.7,545.1,37550.485834
2024-05-01 16:00:00+00:00,2024-05-01 16:00:00+00:00,545.2,566.3,541.0,564.7,35541.675496
2024-05-02 16:00:00+00:00,2024-05-02 16:00:00+00:00,564.8,579.4,558.4,577.6,17660.992865
2024-05-03 16:00:00+00:00,2024-05-03 16:00:00+00:00,577.7,593.4,577.6,591.2,11663.075782
2024-05-04 16:00:00+00:00,2024-05-04 16:00:00+00:00,591.1,594.5,578.8,593.0,10666.336857
2024-05-05 16:00:00+00:00,2024-05-05 16:00:00+00:00,593.1,602.2,582.8,589.0,15162.994894
2024-05-06 16:00:00+00:00,2024-05-06 16:00:00+00:00,589.0,600.3,582.2,594.2,9822.540606
2024-05-07 16:00:00+00:00,2024-05-07 16:00:00+00:00,594.2,595.7,574.1,582.4,12322.890123
2024-05-08 16:00:00+00:00,2024-05-08 16:00:00+00:00,582.5,607.6,579.9,596.4,21261.637246
2024-05-09 16:00:00+00:00,2024-05-09 16:00:00+00:00,596.4,599.6,582.1,586.1,11550.277167
2024-05-10 16:00:00+00:00,2024-05-10 16:00:00+00:00,586.1,593.9,581.2,591.7,9031.697257
2024-05-11 16:00:00+00:00,2024-05-11 16:00:00+00:00,591.7,597.1,587.5,595.6,7629.313858
2024-05-12 16:00:00+00:00,2024-05-12 16:00:00+00:00,595.6,599.3,585.2,595.0,14146.485947
2024-05-13 16:00:00+00:00,2024-05-13 16:00:00+00:00,595.0,597.5,562.2,569.9,13881.98326
2024-05-14 16:00:00+00:00,2024-05-14 16:00:00+00:00,569.9,582.4,560.0,579.8,16585.777544
2024-05-15 16:00:00+00:00,2024-05-15 16:00:00+00:00,579.7,587.1,566.1,568.0,15426.997124
2024-05-16 16:00:00+00:00,2024-05-16 16:00:00+00:00,568.0,584.6,565.7,582.5,11848.515481
2024-05-17 16:00:00+00:00,2024-05-17 16:00:00+00:00,582.6,583.5,574.5,577.8,6269.98953
2024-05-18 16:00:00+00:00,2024-05-18 16:00:00+00:00,577.8,582.1,575.0,578.0,6465.256114
2024-05-19 16:00:00+00:00,2024-05-19 16:00:00+00:00,577.8,581.5,568.8,576.7,11167.846077
2024-05-20 16:00:00+00:00,2024-05-20 16:00:00+00:00,576.8,631.7,575.5,613.0,71481.953141
2024-05-21 16:00:00+00:00,2024-05-21 16:00:00+00:00,613.0,626.7,606.5,621.0,25309.989576
2024-05-22 16:00:00+00:00,2024-05-22 16:00:00+00:00,621.0,621.9,585.4,594.3,25054.128517
2024-05-23 16:00:00+00:00,2024-05-23 16:00:00+00:00,594.2,605.4,577.8,596.7,18378.470562
2024-05-24 16:00:00+00:00,2024-05-24 16:00:00+00:00,596.9,606.3,594.7,601.6,8108.446366
2024-05-25 16:00:00+00:00,2024-05-25 16:00:00+00:00,601.6,605.0,598.7,602.1,6086.88909
2024-05-26 16:00:00+00:00,2024-05-26 16:00:00+00:00,602.2,613.9,597.7,612.8,6498.047172
2024-05-27 16:00:00+00:00,2024-05-27 16:00:00+00:00,612.8,614.6,593.5,601.0,12449.318078
2024-05-28 16:00:00+00:00,2024-05-28 16:00:00+00:00,601.1,603.3,594.7,595.3,6888.592809
2024-05-29 16:00:00+00:00,2024-05-29 16:00:00+00:00,595.3,598.3,586.1,596.4,8453.490413
2024-05-30 16:00:00+00:00,2024-05-30 16:00:00+00:00,596.5,602.7,591.0,591.2,9096.31404
2024-05-31 16:00:00+00:00,2024-05-31 16:00:00+00:00,591.2,598.3,589.8,596.1,4094.829054
2024-06-01 16:00:00+00:00,2024-06-01 16:00:00+00:00,596.2,608.3,595.9,601.5,7201.302941
2024-06-02 16:00:00+00:00,2024-06-02 16:00:00+00:00,601.6,639.0,596.3,627.8,30710.840212
2024-06-03 16:00:00+00:00,2024-06-03 16:00:00+00:00,628.1,667.4,620.2,663.5,37243.521583
2024-06-04 16:00:00+00:00,2024-06-04 16:00:00+00:00,663.5,719.2,661.3,704.9,72735.055373
2024-06-05 16:00:00+00:00,2024-06-05 16:00:00+00:00,704.9,722.7,688.1,703.4,38860.662513
2024-06-06 16:00:00+00:00,2024-06-06 16:00:00+00:00,703.4,712.0,696.0,700.8,20673.901486
2024-06-07 16:00:00+00:00,2024-06-07 16:00:00+00:00,700.8,701.8,657.9,686.6,32961.53919
